GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",574460,635955,709793,895001,904941,847896,816165,825355,912630,1194489,1247670,1240126,1374685,1409305,1400849,1548822,1614621,1655607,1528085,1450434,1338169,1379866,1268539,1407065,1344079
 "56000","Wyoming",7,SAINC70,2,"..."," Output ","Thousands of dollars",9232,12636,12395,12764,13756,14671,18494,20108,16790,13516,15294,24448,29630,33075,39981,41903,38641,53414,66093,59978,60755,68232,69043,66087,77014
 "56000","Wyoming",7,SAINC70,3,"..."," Contributions ","Thousands of dollars",367495,400624,451027,554762,568134,534300,516664,535143,595950,758571,822221,831970,901841,952076,951719,1031530,1069695,1073421,966645,885849,833685,882475,795770,845212,818032
 "56000","Wyoming",7,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",169762,177929,204656,227287,245083,235375,235657,265039,296060,336169,412066,448262,458627,527922,542570,556141,563410,544649,471298,381242,389956,453316,392044,349446,368999
 "56000","Wyoming",7,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",55010,59414,62737,75242,69778,75851,83054,92695,102193,108147,117303,138271,152813,160105,173238,186480,194468,223415,228124,217497,226257,237943,242481,240101,252906
 "56000","Wyoming",7,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",68536,73524,90448,92520,115210,99990,92365,104887,113959,137835,195968,207514,196141,258641,256321,241671,231371,202789,141681,53693,39263,93225,21415,-33033,-35912
 "56000","Wyoming",7,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",55448,57627,63866,72289,73851,74205,78732,87565,96698,103703,114089,126925,139303,142251,152992,169893,176212,171859,167586,170030,185191,190380,197191,208465,229019
 "56000","Wyoming",7,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",9232,12636,12395,12764,13756,14671,18494,20108,16790,13516,15294,24448,29630,33075,39981,41903,38641,53414,66093,59978,60755,68232,69043,66087,77014
 "56000","Wyoming",7,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",197733,222695,246371,327475,323051,298925,281007,270104,299890,422402,410155,383708,443214,424154,409149,475389,506285,528772,495347,504607,443729,429159,403726,495766,449033
 "56000","Wyoming",7,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",197733,222695,246371,327475,323051,298925,281007,270104,299890,422402,410155,383708,443214,424154,409149,475389,506285,528772,495347,504607,443729,429159,403726,495766,449033
 "56000","Wyoming",7,SAINC70,11,"...","  Interest ","Thousands of dollars",147677,172157,205176,295987,282097,248837,224741,201016,239166,378601,363279,335856,394862,371785,351562,422382,457497,465962,435465,450719,391770,370001,327257,411274,384517
 "56000","Wyoming",7,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",117015,107201,131099,168450,144345,114705,118561,128527,149655,151605,130687,102049,124519,120939,100349,147956,154819,137727,130296,116942,98808,116687,140637,154663,169793
 "56000","Wyoming",7,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",30662,64956,74077,127537,137752,134132,106180,72489,89511,226996,232592,233807,270343,250846,251213,274426,302678,328235,305169,333777,292962,253314,186620,256611,214724
 "56000","Wyoming",7,SAINC70,14,"...","  Dividends ","Thousands of dollars",50056,50538,41195,31488,40954,50088,56266,69088,60724,43801,46876,47852,48352,52369,57587,53007,48788,62810,59882,53888,51959,59158,76469,84492,64516
 "56000","Wyoming",7,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",574460,635955,709793,895001,904941,847896,816165,825355,912630,1194489,1247670,1240126,1374685,1409305,1400849,1548822,1614621,1655607,1528085,1450434,1338169,1379866,1268539,1407065,1344079
 "56000","Wyoming",7,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",9232,12636,12395,12764,13756,14671,18494,20108,16790,13516,15294,24448,29630,33075,39981,41903,38641,53414,66093,59978,60755,68232,69043,66087,77014
 "56000","Wyoming",7,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",197733,222695,246371,327475,323051,298925,281007,270104,299890,422402,410155,383708,443214,424154,409149,475389,506285,528772,495347,504607,443729,429159,403726,495766,449033
 "56000","Wyoming",7,SAINC70,18,"...","  Interest ","Thousands of dollars",147677,172157,205176,295987,282097,248837,224741,201016,239166,378601,363279,335856,394862,371785,351562,422382,457497,465962,435465,450719,391770,370001,327257,411274,384517
 "56000","Wyoming",7,SAINC70,19,"...","  Dividends ","Thousands of dollars",50056,50538,41195,31488,40954,50088,56266,69088,60724,43801,46876,47852,48352,52369,57587,53007,48788,62810,59882,53888,51959,59158,76469,84492,64516
 "56000","Wyoming",7,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",154185,167324,183320,203346,222483,239320,255959,272037,296630,328035,357384,381680,419304,450804,478431,510895,543428,583474,618238,650349,686083,717951,753210,787350,825685
 "56000","Wyoming",7,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",213310,233300,267707,351416,345651,294980,260705,263106,299320,430536,464837,450290,482537,501272,473288,520635,526267,489947,348407,235500,147602,164524,42560,57862,-7653
 "56000","Wyoming",7,SAINC70,22,"...","Cash flow ","Thousands of dollars",114112,94820,103182,131359,92689,60858,62160,85730,95850,65705,36277,8969,16053,-8215,-34246,4538,-7782,-41077,-98443,-151970,-184623,-182015,-165475,-165716,-186465
