GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "05000","Arkansas",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",28569246,30163014,31830512,32970649,33873186,35118420,37223840,39076385,41362632,43531039,44463338,44017270,44757352,46288979,47879873,48798973,50467231,52441271,53945592,56029138,57865321,60207666,62081124,67401343,73033182,76885919,81633337
 "05000","Arkansas",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",237955,242217,240063,259281,254499,258307,280157,231483,224275,235402,258738,220723,238418,208301,264245,287053,244049,284760,298331,241234,251022,300972,255687,254046,300042,315803,379363
 "05000","Arkansas",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",28331291,29920797,31590449,32711368,33618687,34860113,36943683,38844902,41138357,43295637,44204600,43796547,44518934,46080678,47615628,48511920,50223182,52156511,53647261,55787904,57614299,59906694,61825437,67147297,72733140,76570116,81253974
 "05000","Arkansas",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",23377146,24741655,26134393,26971519,27558020,28403894,30074549,31463198,33355782,35201267,35750141,34958990,35587255,37026975,38504333,39312076,40953504,42763005,44115884,46100073,47744574,49778058,51413042,56401610,61438677,64765563,68872755
 "05000","Arkansas",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",197152,206799,210917,220203,222971,218287,226289,231436,237809,238158,241522,230184,251993,249139,262506,267460,281226,293503,311351,318050,327268,342662,350230,358711,368164,375281,382555
 "05000","Arkansas",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",95355,101008,100134,95227,(D),100115,(D),101420,(D),(D),89844,76690,88571,82249,(D),(D),(D),(D),105409,102989,110822,115323,114423,118162,115551,117257,118802
 "05000","Arkansas",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),335,(D),445,(D),323,(D),(D),434,462,520,547,(D),(D),(D),(D),773,619,458,525,432,491,461,519,455
 "05000","Arkansas",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",101070,105118,110248,124641,123233,117727,130258,129693,141076,142442,151244,153032,162902,166343,175809,179037,186760,193194,205169,214442,215988,226814,235375,240058,252152,257505,263298
 "05000","Arkansas",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",121890,117582,121805,148792,140128,147267,166468,191248,259792,375267,507600,525280,549692,607894,586159,521009,481621,415768,275411,249984,257898,253184,237778,231800,249107,265795,273084
 "05000","Arkansas",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",15295,13813,14605,17275,16761,17999,18612,21115,24934,43825,67737,100863,111294,130664,150015,141049,130042,119861,87138,62027,58146,56718,52500,40497,40795,36112,37549
 "05000","Arkansas",5,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",68595,71315,66931,74115,76101,75631,82579,85108,92690,96376,105499,93494,102608,108485,104041,96820,89994,89875,89033,96065,103341,104073,108582,120911,128915,135117,137105
