GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",64289238,69372454,76583262,79484246,81176503,84999480,92155482,101118705,111468721,117288565,117222286,109643699,109156749,113495712,118946570,122596891,127740598,134093382,139368770,147731283,157183301,167942691,176732973,194025130,212324616,226702588,241526997
 "04000","Arizona",6,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",292826,285860,325355,329847,376491,324690,343081,386620,365410,417036,383146,433236,380472,381998,443000,494158,477383,401841,460555,464713,463179,335879,495973,547538,449432,498893,611403
 "04000","Arizona",6,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",63996412,69086594,76257907,79154399,80800012,84674790,91812401,100732085,111103311,116871529,116839140,109210463,108776277,113113714,118503570,122102733,127263215,133691541,138908215,147266570,156720122,167606812,176237000,193477592,211875184,226203695,240915594
 "04000","Arizona",6,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",52969019,57434062,63836832,65760895,66331818,69291284,75567368,83414512,92620082,97164728,96161366,88525392,88419799,92660169,97862513,101281905,106123240,112044835,116925580,124532512,133134920,142945625,150289194,167032605,183983651,195718656,208652314
 "04000","Arizona",6,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",195594,201522,200240,224896,227805,229377,246353,255185,277480,287615,266749,257012,276746,287680,286478,288190,314603,340171,363932,368840,379651,386452,392281,398511,435239,450488,476146
 "04000","Arizona",6,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",7515,(T),(T),(D),(D),(D),3391,(D),(D),(D),(D),3548,(D),3742,(D),4210,(D),(D),(D),(D),5952,5572,5839,6108,7533,(D),(D)
 "04000","Arizona",6,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),0,(D),(D),(D),(D),127,(D),201,(D),163,(D),(D),(D),(D),206,270,276,280,275,(D),(D)
 "04000","Arizona",6,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",187913,195491,193457,221437,223943,225830,242962,251450,273737,283921,262939,253337,272413,283737,282404,283817,307947,330647,355341,361278,373493,380610,386166,392123,427431,442874,467459
 "04000","Arizona",6,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",573083,543443,464154,452999,410930,402458,446654,489315,589619,727661,915885,722425,735208,858595,964065,996061,974293,956043,872715,943899,1121781,1136254,1072507,1173564,1320829,1396473,1594152
 "04000","Arizona",6,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),177,152,(D),(D),189,167,418,892,(D),1749,6315,8451,6911,6524,5331,5205,4547,4387,4786,5052,5125,4233,4908,6023
 "04000","Arizona",6,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",557381,527252,445639,445173,400918,393941,437953,477844,571236,705413,874160,675152,689187,811081,910025,949286,922433,907710,835790,900305,1036038,1067228,1001069,1108359,1242577,1306295,1493970
