GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12000","Florida",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",199099985,212076660,231180254,242318487,250891679,264522119,285401467,309872613,332427245,343026888,339021386,320654740,322574282,332059525,346080832,358216341,378847091,404274826,424791463,447323235,473082121,499829271,512261502,578209728,644662166,692103148,735106464
 "12000","Florida",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",814604,752788,823798,1078148,1036264,901546,1080570,1028633,1178053,1094681,1211124,1174607,1188460,1029401,1015974,1232369,1131772,972858,1125932,985039,1102037,1240199,1515262,1813233,1395715,1795126,2470624
 "12000","Florida",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",198285381,211323872,230356456,241240339,249855415,263620573,284320897,308843980,331249192,341932207,337810262,319480133,321385822,331030124,345064858,356983972,377715319,403301968,423665531,446338196,471980084,498589072,510746240,576396495,643266451,690308022,732635840
 "12000","Florida",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",165278626,177075980,193577742,202570314,208464920,219592213,237218017,259342544,279148900,287028120,280855748,262167394,263821737,274064291,288730189,300179250,319803065,343708487,361785974,382123950,406327325,430427857,439994158,503168278,566381348,607743295,644540626
 "12000","Florida",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",761274,771779,772085,815117,790610,829806,878567,916195,969916,990231,977799,965095,986352,992461,1024517,1089462,1133037,1215918,1261473,1302788,1360690,1422210,1478868,1519799,1587054,1640369,1698483
 "12000","Florida",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",83877,80552,80211,80754,82291,(D),90001,104409,(D),(D),98708,98050,121388,119052,119012,106742,106703,135939,119858,116062,107155,109896,116018,114162,124056,127260,125694
 "12000","Florida",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",19267,19157,20565,20020,16567,(D),17020,15823,(D),(D),16790,14195,17607,18604,18494,17828,17846,17949,20529,21377,20262,20253,22734,24366,26347,25062,26539
 "12000","Florida",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",658130,672070,671309,714343,691752,730641,771546,795963,844204,869979,862301,852850,847357,854805,887011,964892,1008488,1062030,1121086,1165349,1233273,1292061,1340116,1381271,1436651,1488047,1546250
 "12000","Florida",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",273661,261969,271020,281474,253473,250372,258885,268938,253541,276973,258149,209119,216765,235794,268822,254183,271891,275431,284528,292841,305459,298431,291119,319085,352135,399570,424899
 "12000","Florida",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),14284,23383,23591,15846,11155,8845,8697,7730,8142,6285,8589,5649,7347,7869,9864,10783,8580,6803,6564,5317,3515,4196,6665,7901,10094
 "12000","Florida",5,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",260275,248471,249160,247990,220882,222611,232792,234578,216718,242383,226488,185598,177821,196165,203005,214335,228099,223042,236873,242235,259055,260812,252557,282075,297947,331637,329614
 "12000","Florida",5,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),10101,9000,11915,14938,25515,28126,26860,23519,17236,30355,33980,58470,31979,33928,41606,39075,43803,39840,32302,35047,32814,47523,60032,85191
 "12000","Florida",5,SAINC7N,300,"22","   Utilities ","Thousands of dollars",1425246,1509785,1658402,1714869,1421906,1442132,1634159,1689214,1665175,1684733,1823599,1893735,1806799,1892262,1950452,1962973,2032321,2142629,2293285,2413991,2480986,2344126,2542923,2578432,2751963,3004734,3269555
 "12000","Florida",5,SAINC7N,400,"23","   Construction ","Thousands of dollars",11265207,12153024,13575924,14954725,15949531,17211656,20135221,24209549,27935886,26349102,22631882,17233966,15105772,14443130,15012566,16221469,18197824,20733892,23465302,26032778,29035266,31281084,32842879,35572618,39729249,43947705,47514973
 "12000","Florida",5,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",2805329,3056591,3451125,3823149,4121228,4596069,5460669,6854720,7837428,7109199,5800471,4302850,3631546,3381379,3748546,4016797,4562933,5282964,5893717,6548310,7368938,7729753,8123409,9051201,10351260,11454684,12405458
 "12000","Florida",5,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",2048702,2223643,2422972,2619546,2584660,2754297,3205737,3530917,3937760,3884038,3490574,2753002,2585547,2330610,2331386,2473692,2671969,2975289,3386440,3903924,4178249,4592511,4990594,5479414,5862524,6359278,6980739
 "12000","Florida",5,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",6411176,6872790,7701827,8512030,9243643,9861290,11468815,13823912,16160698,15355865,13340837,10178114,8888679,8731141,8932634,9730980,10962922,12475639,14185145,15580544,17488079,18958820,19728876,21042003,23515465,26133743,28128776
