GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "13000","Georgia",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",121166254,130922882,141824901,145820293,146636066,150830629,158370136,167394615,177139861,186679631,188024383,178947092,181000754,187605059,195340698,200732838,212148432,224266620,235030059,246806915,257941965,270691618,274981317,302381479,334693228,352109250,371884880
 "13000","Georgia",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",263105,235277,248999,314962,292394,267309,307156,359898,293443,383042,402643,306119,306877,272380,423433,315126,383012,361001,363485,396491,320423,323999,352113,442473,432768,548949,551536
 "13000","Georgia",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",120903149,130687605,141575902,145505331,146343672,150563320,158062980,167034717,176846418,186296589,187621740,178640973,180693877,187332679,194917265,200417712,211765420,223905619,234666574,246410424,257621542,270367619,274629204,301939006,334260460,351560301,371333344
 "13000","Georgia",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",101277512,110311258,119887900,122458864,121440710,124095335,130715913,138064718,146280546,154071192,153494955,144001030,145958394,152718733,160536982,166547419,177286546,188415040,198310277,208652759,218826943,230507054,233380638,258926346,288968387,303589500,319900465
 "13000","Georgia",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",341585,348467,360189,382669,350952,355172,375786,399750,432512,433396,435537,420256,461999,459851,478422,504451,524251,561584,592208,580404,597470,617774,652719,682242,726975,740358,760271
 "13000","Georgia",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",198180,191225,189356,205224,187277,186110,199668,215960,232217,234671,220543,202791,220417,213779,213620,226616,231364,243810,248693,231484,231903,237805,250431,258533,274254,273824,271149
 "13000","Georgia",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",12200,16840,23040,19785,8945,9628,10719,11362,11500,11911,12339,11867,12661,12809,13405,14085,14988,15848,15482,16139,16269,16432,19781,19420,20478,22042,22518
 "13000","Georgia",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",131205,140402,147793,157660,154730,159434,165399,172428,188795,186814,202655,205598,228921,233263,251397,263750,277899,301926,328033,332781,349298,363537,382507,404289,432243,444492,466604
 "13000","Georgia",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",363906,369889,376211,366219,360511,369049,380004,384979,397955,417787,330190,276348,282126,283624,284696,297203,306807,317371,352074,367269,375344,383326,379006,405694,459880,514991,530576
 "13000","Georgia",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,609,2188,4529
