GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "20000","Kansas",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",37317819,39438463,41766878,43269734,43873122,44486732,46700041,48535928,52081240,55440003,57621123,55603539,56087596,58102793,60614446,61870201,64456323,66740058,67254705,68826657,71564158,74393371,75873163,79837292,85864819,90751338,95299249
 "20000","Kansas",4,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",309675,285481,312808,345394,311277,329580,371694,316067,332556,452338,426217,359311,343503,419385,468875,380697,485302,451498,506948,467204,454474,523318,481017,531378,456483,434396,575174
 "20000","Kansas",4,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",37008144,39152982,41454070,42924340,43561845,44157152,46328347,48219861,51748684,54987665,57194906,55244228,55744093,57683408,60145571,61489504,63971021,66288560,66747757,68359453,71109684,73870053,75392146,79305914,85408336,90316942,94724075
 "20000","Kansas",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",30276656,32093196,33999221,35183391,35423127,35731987,37449109,39082978,41967718,44578658,46220119,43876253,44153901,45987551,48410170,49704227,52029696,54143678,54413452,55834265,58193465,60590600,62091361,65542438,71123927,75184155,78797745
 "20000","Kansas",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",54259,56771,59727,61625,63363,65773,68764,73464,74902,76995,83369,88745,97822,100902,110832,119094,126209,136810,147032,145580,155928,169156,174985,179520,186999,197091,204375
 "20000","Kansas",4,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),(D),221,(D),(D),(D),(D),(D),(D),(D),(D),154,192,85,(D),(D),125,165,234,176,184,130,179
 "20000","Kansas",4,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),387,(D),(D),(D),(D),(D),(D),(D),(D),697,837,855,(D),(D),654,679,723,762,924,1147,1256
 "20000","Kansas",4,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",51101,52642,54752,61167,62763,65271,68156,72867,74271,76163,82574,88002,97089,100163,110093,118243,125180,135870,146189,144931,155149,168312,174028,178582,185891,195814,202940
 "20000","Kansas",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",233639,218541,242537,275177,241251,260762,300089,340240,424096,462990,524391,409837,434493,495754,569981,585854,622321,477918,381765,375390,400167,404848,342454,366686,430060,443007,444766
 "20000","Kansas",4,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",104701,87780,103338,100097,93471,99676,98180,105282,125146,137821,163588,139311,142497,166376,180886,177014,180599,170913,157228,132183,139941,137393,119924,123360,147272,146350,146985
 "20000","Kansas",4,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",45266,45479,47021,58353,43936,46975,50043,53648,57567,55372,58853,57463,61491,60715,60101,64549,71838,83813,82754,83996,86481,95236,94816,97140,93072,103846,117202
 "20000","Kansas",4,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",83672,85282,92178,116727,103844,114111,151866,181310,241383,269797,301950,213063,230505,268663,328994,344291,369884,223192,141783,159211,173745,172219,127714,146186,189716,192811,180579
 "20000","Kansas",4,SAINC7N,300,"22","   Utilities ","Thousands of dollars",385012,410572,412390,462626,468910,430436,461111,484565,500394,536690,571283,604691,618438,708893,678292,683478,694405,614263,625301,630531,652917,644725,685601,654129,664000,660257,717075
 "20000","Kansas",4,SAINC7N,400,"23","   Construction ","Thousands of dollars",1886568,2082562,2217223,2276347,2257333,2266514,2314688,2452313,2655214,2826620,2959339,2638613,2555967,2498279,2722912,2844130,3095634,3241302,3301698,3325902,3493574,3801000,3890024,4045696,4313136,4839779,5423089
 "20000","Kansas",4,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",439712,494788,525074,512518,493665,488512,493713,503806,544379,595000,604456,507352,473834,465128,516689,548148,604806,673370,693278,690991,716736,791536,796247,866057,931453,1025721,1171775
 "20000","Kansas",4,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",363692,399418,424268,451047,429052,434514,455593,495804,518924,547584,574225,550827,570109,510496,577717,616474,677101,628780,588191,573511,635287,726232,749416,721999,748725,864518,936097
 "20000","Kansas",4,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1083164,1188356,1267881,1312782,1334616,1343488,1365382,1452703,1591911,1684036,1780658,1580434,1512024,1522655,1628506,1679508,1813727,1939152,2020229,2061400,2141551,2283232,2344361,2457640,2632958,2949540,3315217
 "20000","Kansas",4,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",7272825,7512045,7687537,7812547,7632071,7378528,7808612,8109121,8813660,9226373,9313340,8385875,8354069,8628204,8772654,8906234,8995938,9202821,9263843,9567105,10098998,10325860,10359158,10710062,11938181,12638075,13118737
 "20000","Kansas",4,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",4981946,5108368,5217840,5300797,5027470,4775111,5084800,5370420,6018390,6323261,6427265,5597519,5501142,5705867,5852885,5904863,5875475,5979245,5852288,5891797,6244150,6440806,6127466,6269193,7097941,7674304,8100045
