GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "22000","Louisiana",5,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",53105054,54055815,56101018,58748984,60587314,62675064,65480047,67930589,72520835,78328245,83643315,82280185,83587939,86071759,89003009,91413674,95473885,97226371,95714548,97608816,101573963,104218230,101641041,107560566,115371203,122217786,128478632
 "22000","Louisiana",5,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",165576,169803,169553,184491,182439,133115,173754,152177,155655,171854,155653,156971,161307,138013,209293,163450,128856,189708,153926,161173,162135,121286,123397,156613,162717,249713,359826
 "22000","Louisiana",5,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",52939478,53886012,55931465,58564493,60404875,62541949,65306293,67778412,72365180,78156391,83487662,82123214,83426632,85933746,88793716,91250224,95345029,97036663,95560622,97447643,101411828,104096944,101517644,107403953,115208486,121968073,128118806
 "22000","Louisiana",5,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",42721602,43306544,44900984,47023079,47914914,49271562,51454776,53521670,58482742,63168593,66989251,65132783,66097724,68875445,72018299,74888197,79304191,80874654,79297890,80990691,84499140,86739641,83767732,89365089,96695116,102246962,107444053
 "22000","Louisiana",5,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",201900,189004,179866,183175,187864,200007,198975,209837,215592,227757,238051,217211,238233,231562,244428,253894,264620,264935,281734,281011,303204,309302,310894,310640,315166,329575,324946
 "22000","Louisiana",5,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",126045,109650,97914,97934,101828,108772,107384,119431,117736,121977,127877,114917,128673,121515,127298,134669,140066,133824,130463,127092,130375,132059,133075,133978,137011,140113,139373
 "22000","Louisiana",5,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",15595,16289,16432,11402,12141,12630,12448,9692,11648,13398,12770,11792,13289,11754,12857,13489,13706,16250,31553,34377,47987,44899,42476,40286,43220,47593,44459
 "22000","Louisiana",5,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",60260,63065,65520,73839,73895,78605,79143,80714,86208,92382,97404,90502,96271,98293,104273,105736,110848,114861,119718,119542,124842,132344,135343,136376,134935,141869,141114
 "22000","Louisiana",5,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2584217,2229772,2321870,2731736,2535891,2564781,2526787,2729862,3291152,3615906,4273612,3836939,3996655,4284087,4577896,4647530,4872022,4306188,3372098,3040979,3326744,3526178,2931033,2808727,3215643,3404894,3305535
 "22000","Louisiana",5,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",925450,861085,774132,806745,764535,721775,726256,753897,779523,842204,1042609,957287,957345,1064002,1231135,1223899,1331618,1295611,1184024,863738,937264,1005230,965471,822070,893069,964378,969074
 "22000","Louisiana",5,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",126900,119991,119596,94634,84438,97767,98273,86553,107816,92310,96414,85227,86888,98519,89695,92267,105893,108655,106396,112230,103700,107928,105431,108887,117368,100807,96643
 "22000","Louisiana",5,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",1531867,1248696,1428142,1830357,1686918,1745239,1702258,1889412,2403813,2681392,3134589,2794425,2952422,3121566,3257066,3331364,3434511,2901922,2081678,2065011,2285780,2413020,1860131,1877770,2205206,2339709,2239818
 "22000","Louisiana",5,SAINC7N,300,"22","   Utilities ","Thousands of dollars",447503,465625,502326,542153,568085,580718,621802,633966,593382,618487,686086,700428,686611,716171,717242,735574,747366,755566,743601,779697,824036,839860,913781,919740,860264,904284,958374
 "22000","Louisiana",5,SAINC7N,400,"23","   Construction ","Thousands of dollars",3995504,4040412,4142446,4208952,4140232,4153405,4224647,4530219,5789027,6447187,6998335,6983955,6389833,6497700,6809325,7211683,8084195,8471151,8696413,9481698,10103580,9618751,8253149,8883573,9257225,10248288,11777255
 "22000","Louisiana",5,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",822403,820002,822868,798424,766071,744482,802291,940462,1201223,1411009,1546500,1387242,1187188,1165356,1324344,1399141,1408292,1402669,1823486,2403122,2586075,2183535,1776638,1914584,1796307,1767653,1924962
 "22000","Louisiana",5,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1425687,1430146,1415081,1426070,1380311,1368961,1392915,1404797,1794937,2114398,2457254,2613407,2357579,2484550,2503786,2576562,3084721,3540924,3439753,3557078,3432968,3276446,2921107,3109878,3258381,3938286,4757768
 "22000","Louisiana",5,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",1747414,1790264,1904497,1984458,1993850,2039962,2029441,2184960,2792867,2921780,2994581,2983306,2845066,2847794,2981195,3235980,3591182,3527558,3433174,3521498,4084537,4158770,3555404,3859111,4202537,4542349,5094525
 "22000","Louisiana",5,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",7022643,7064375,7078558,7337606,7237226,7298386,7529765,7700978,8174815,8737186,8959966,8400733,8474255,8921006,9310087,9581789,10219636,10274478,9892598,10075608,10584243,11011526,10569050,10742962,11665817,12627966,13255048
 "22000","Louisiana",5,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",3142755,3124066,3099137,3241359,3176661,3236355,3389190,3437813,3887262,4254692,4289689,3840494,3785103,4038281,4221980,4367325,4703369,4456269,3931737,3974874,4119416,4304999,3956000,4035590,4429865,4912233,5138625
 "22000","Louisiana",5,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",284142,300278,307036,294913,299008,281293,300543,313885,336414,341195,302051,250387,245416,255615,261824,273385,293948,320392,329410,338929,360324,389296,399989,438065,477007,518340,542674
 "22000","Louisiana",5,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",195055,201907,216190,218865,207790,221436,227521,247689,281216,288364,291357,267374,276325,284409,278821,285151,310327,313303,308687,315870,314191,325968,310863,293903,277155,309167,304792
