GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "94000","Plains",4,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars) ","Thousands of dollars",278627435,295033309,313938351,323892371,330098750,339143437,356054286,369377392,388766025,410495298,426335315,411042223,417912068,433405877,455818766,468554854,490467019,512254687,522043064,541407665,563231371,584185828,592100184,630674223,677818496,715015605,748101436
 "94000","Plains",4,SAINC7N,81,"111-112"," Farm wages and salaries ","Thousands of dollars",1888846,1769849,1934352,2085742,2015550,2104305,2179048,2010389,1959637,2740992,2548111,2577814,2426302,2441072,3291776,2720139,3083391,2774602,2898602,3156084,2913617,3250758,3095590,3366768,3543613,3727483,4522137
 "94000","Plains",4,SAINC7N,82,"..."," Nonfarm wages and salaries ","Thousands of dollars",276738589,293263460,312003999,321806629,328083200,337039132,353875238,367367003,386806388,407754306,423787204,408464409,415485766,430964805,452526990,465834715,487383628,509480085,519144462,538251581,560317754,580935070,589004594,627307455,674274883,711288122,743579299
 "94000","Plains",4,SAINC7N,90,"113-814","  Private nonfarm wages and salaries ","Thousands of dollars",232103384,246623783,262545148,270149187,273743827,280508476,295158965,306658085,323309196,341229797,353626084,335801158,342326059,357626052,378615777,390747305,410548069,430515996,438342567,455462729,475025309,493159402,499146419,535096484,578025304,609132460,634721062
 "94000","Plains",4,SAINC7N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",353055,376948,405953,411425,426366,(D),514317,538209,556245,594483,666388,701860,766966,803047,890229,954737,976598,1026876,1088135,1126996,1170785,1245581,1315017,1360872,1439789,1504723,1578077
 "94000","Plains",4,SAINC7N,101,"113","    Forestry and logging ","Thousands of dollars",40573,45476,44525,34808,35551,36146,38995,40052,38925,38660,38471,37388,39907,43604,42622,41532,44695,(D),52113,55386,(D),(D),(D),(D),59710,62515,61225
 "94000","Plains",4,SAINC7N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",12478,14030,15956,2074,2329,(D),2755,2915,3363,4002,4203,3322,3679,3639,4378,4493,5227,(D),5879,6173,(D),(D),(D),(D),(D),(D),9787
 "94000","Plains",4,SAINC7N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",300004,317442,345472,374543,388486,448131,472567,495242,513957,551821,623714,661150,723380,755804,843229,908712,926676,970683,1030143,1065437,1109433,1183476,1249523,1294109,(D),(D),1507065
 "94000","Plains",4,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1124625,1086054,1127679,1121733,1043549,(D),1225323,1435681,1496357,1653218,1961806,1618480,2073037,2919887,3880625,4104232,4732332,3794448,2742429,3175961,3689262,3823567,2983797,3080224,3686437,4115234,4275890
 "94000","Plains",4,SAINC7N,201,"211","    Oil and gas extraction ","Thousands of dollars",140419,120727,137576,133498,(D),(D),128381,140296,(D),(D),(D),(D),(D),(D),(D),(D),(D),548779,504559,473097,(D),543738,(D),462313,552123,596327,640476
 "94000","Plains",4,SAINC7N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",844375,835850,839876,804212,(D),790409,848193,976619,888016,918759,998105,838243,946146,1076195,1146784,(D),(D),1214740,1137257,1236729,1318200,1342366,1279285,1472738,1524347,1602957,1670912
 "94000","Plains",4,SAINC7N,203,"213","    Support activities for mining ","Thousands of dollars",139831,129477,150227,184023,165055,189986,248749,318766,(D),(D),(D),(D),(D),(D),(D),(D),(D),2030929,1100613,1466135,(D),1937463,(D),1145173,1609967,1915950,1964502
 "94000","Plains",4,SAINC7N,300,"22","   Utilities ","Thousands of dollars",2521909,2619411,2710095,2973451,3146896,2903136,3105350,3111901,3228312,3473451,3707853,3732268,3783868,3982085,3982076,4075994,4223116,4208485,4228178,4348117,4479781,4590771,4700747,4857547,4953442,5185719,5462762
 "94000","Plains",4,SAINC7N,400,"23","   Construction ","Thousands of dollars",14618611,16482179,17607167,18458982,18692111,19068732,19998892,20756592,21980540,22901405,23194870,20515920,19015366,19510920,21204152,22730957,25034807,27125738,28388474,28595660,29698006,31993841,32801611,35248885,38029315,41858035,45249741
 "94000","Plains",4,SAINC7N,401,"236","    Construction of buildings ","Thousands of dollars",3479938,3909781,4157704,4308048,(D),4463591,4720590,4949046,5255052,5564938,5547113,4580636,4208851,4262762,4518824,4866182,5465352,5925898,6206071,6285143,6618659,7013915,7136942,7639443,8496827,9344379,9981932
 "94000","Plains",4,SAINC7N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",2461403,2729513,2794252,2895812,(D),2980357,3112618,3237197,3400347,3582013,3785347,3791726,3524888,3650691,4118133,4370257,4857236,5117986,5213077,4790341,5016969,5581871,5954381,6446879,6524703,7106687,7895034
 "94000","Plains",4,SAINC7N,403,"238","    Specialty trade contractors ","Thousands of dollars",8677270,9842885,10655211,11255122,11380166,11624784,12165684,12570349,13325141,13754454,13862410,12143558,11281627,11597467,12567195,13494518,14712219,16081854,16969326,17520176,18062378,19398055,19710288,21162563,23007785,25406969,27372775
 "94000","Plains",4,SAINC7N,500,"31-33","   Manufacturing ","Thousands of dollars",49115719,50754010,52717999,51939329,50999599,51156956,53721447,55087733,57427612,58871086,59652699,53272405,53725476,56208385,58380154,59801527,62287745,64639822,64816367,67394716,70638594,72462250,72580433,76575033,83307039,87875884,90519148
 "94000","Plains",4,SAINC7N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",31859590,32809540,34304551,33443998,32424220,32545744,34760605,35920122,37794126,38616326,38373281,33462841,33667428,35778073,37193426,38368737,40091113,41369522,40796024,42070630,44393923,45578016,44366293,46857216,51135510,54584690,56377719
 "94000","Plains",4,SAINC7N,511,"321","     Wood product manufacturing ","Thousands of dollars",1309148,1419961,1514145,1508279,1537142,1604258,1713654,1816779,1823049,1746796,1571880,1295248,1266758,(D),(D),(D),(D),(D),(D),(D),1785590,(D),1866945,2095387,2362584,2533936,2537874
 "94000","Plains",4,SAINC7N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1333753,1414032,1499995,1474335,1480530,1468535,1557896,1605777,1664897,1664339,1622654,1430262,1411299,1451893,1539607,1550663,1635173,1816229,1881939,1937071,2049660,2118869,2138390,2242240,2400887,2512363,2654929
 "94000","Plains",4,SAINC7N,513,"331","     Primary metal manufacturing ","Thousands of dollars",1261239,1316401,1325859,(D),(D),(D),(D),1354279,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "94000","Plains",4,SAINC7N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",4738988,4800176,5012172,4805885,4626114,4612262,4915850,5132522,5425813,5754950,5888446,5097001,5163556,5500639,5922840,6166974,6271978,6352390,6343962,6543325,6982458,7224600,7114363,7747703,8411603,8879008,9169249
 "94000","Plains",4,SAINC7N,515,"333","     Machinery manufacturing ","Thousands of dollars",6141052,6077649,6408333,6113460,5714293,5727822,6129128,6434563,6789019,7129800,7428316,6391796,6642025,7378609,7892359,8001599,8310198,8388741,8083427,8481093,9011186,9132909,8935037,9720505,10680497,11460356,11541631
 "94000","Plains",4,SAINC7N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",5135053,5317850,5641312,5346052,5143224,5231995,5509667,5691787,5992714,6118197,6182749,5695660,5798841,6079644,6231368,6384503,6691417,6969827,6857639,7047117,7305393,7400508,7731982,7919620,8211579,8719803,9030599
 "94000","Plains",4,SAINC7N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1644381,1765256,1893639,1841520,1692102,1669017,1702497,1709139,1780419,1791592,1751738,1503918,1478893,1602022,1625484,1640163,1680270,1695824,1709756,1774094,1897286,1946414,1924569,1980921,2139301,2322181,2498322
 "94000","Plains",4,SAINC7N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",3278375,3594120,3816129,(D),(D),(D),(D),3777047,(D),(D),(D),2566693,(D),2724911,2695126,(D),3161066,3546411,3518503,3344499,3508198,3644875,(D),3255341,3836883,(D),4523881
 "94000","Plains",4,SAINC7N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",3873302,3864848,3750861,4013936,3940841,(D),(D),4352107,4926437,4946346,4984056,(D),(D),4562525,4664201,5111208,5239801,5185767,4981311,5117159,5448103,5700263,4927537,4979141,5613030,6360791,6556977
 "94000","Plains",4,SAINC7N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",1317065,1414963,1529896,1515436,1515003,1548977,1645266,1707721,1748591,1734271,1616788,1266022,1238202,1182638,1243563,1280565,(D),(D),(D),(D),(D),1606751,1591024,(D),(D),1674916,(D)
 "94000","Plains",4,SAINC7N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",1827234,1824284,1912210,1988288,1990384,2141798,2420019,2338401,2424733,2573773,2625256,2571703,2633686,2639055,2604682,2659502,2792058,2940232,(D),3113261,3268052,3312865,3338344,3542292,3883302,3947930,4208347
 "94000","Plains",4,SAINC7N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",17256129,17944470,18413448,18495331,18575379,18611212,18960842,19167611,19633486,20254760,21279418,19809564,20058048,20430312,21186728,21432790,22196632,23270300,24020343,25324086,26244671,26884234,28214140,29717817,32171529,33291194,34141429
 "94000","Plains",4,SAINC7N,531,"311","     Food manufacturing ","Thousands of dollars",6474757,6818679,7035739,7293375,7362791,7516990,7542503,7583354,7806481,8116916,8415406,8491780,8759604,8869190,9209134,9333529,9601873,10220611,10724967,11541897,12101605,12514373,13831901,14391394,15467158,15966563,16576882
 "94000","Plains",4,SAINC7N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",440945,475504,498025,562652,598599,574442,586531,589691,573457,641632,1228808,639774,560436,606368,648835,650816,721299,758942,718674,712988,721998,757442,753093,889896,989578,1076423,1092737
