GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1231154,1290634,1407718,1497366,1596037,1705558,1742059,1890456,2052583,2178961,2339937,2435833,2511097,2634779,2762915,2931999,3085861,3287267,3426884,3419917,3605572,3865333,4161120,4320103,4411421,4506841,4572164,4681994,4827192,4982418,5014073,5330968,5659225,6007283,6330950
 "01000","Alabama",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",698881,727825,794139,832420,838188,866232,896820,941939,988014,1047748,1083045,1120710,1137483,1180624,1274767,1377762,1474798,1560781,1592162,1616178,1718165,1832718,1868655,1945022,2044997,2154305,2134213,2289574,2290979,2343022,2470102,2510433,2599316,2910206,3058309
 "01000","Alabama",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",532273,562809,613579,664946,757849,839326,845239,948517,1064569,1131213,1256892,1315123,1373614,1454155,1488148,1554237,1611063,1726486,1834722,1803739,1887407,2032615,2292465,2375081,2366424,2352536,2437951,2392420,2536213,2639396,2543971,2820535,3059909,3097077,3272641
 "02000","Alaska",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",0,749,1579,2362,3248,4220,5346,6846,8628,10598,12448,11712,10618,9700,9042,8373,7954,7030,5588,12005,19094,29025,40753,49645,53193,53056,52656,56074,54037,57138,53056,55998,62504,66312,72328
 "02000","Alaska",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",624656,669544,706890,728534,744686,749983,774423,783747,830727,837391,890157,874674,801633,709297,616397,520523,427520,314766,178821,190644,198933,223394,246197,256023,273143,276599,247295,237642,245520,253765,242690,244290,263123,287285,304081
 "02000","Alaska",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-624656,-668795,-705311,-726172,-741438,-745763,-769077,-776901,-822099,-826793,-877709,-862962,-791015,-699597,-607355,-512150,-419566,-307736,-173233,-178639,-179839,-194369,-205444,-206378,-219950,-223543,-194639,-181568,-191483,-196627,-189634,-188292,-200619,-220973,-231753
 "04000","Arizona",6,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",616565,638373,693577,744603,807018,873548,956683,1052515,1174046,1301515,1448099,1558455,1633861,1759917,1963693,2145369,2261803,2390160,2408099,2326007,2335405,2371087,2484916,2530525,2667863,2820106,2977338,3120166,3344966,3508268,3502399,3906956,4261666,4494120,4766336
 "04000","Arizona",6,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",393146,418578,446760,480940,532335,581290,634259,694759,768161,835229,923100,920688,935901,961403,1015092,1085200,1168088,1213136,1192422,1100408,1085040,1121597,1135207,1184959,1213102,1306828,1383445,1453056,1624970,1583546,1860775,1884604,2086241,2173769,2308298
 "04000","Arizona",6,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",223419,219795,246817,263663,274683,292258,322424,357756,405885,466286,524999,637767,697960,798514,948601,1060169,1093715,1177024,1215677,1225599,1250365,1249490,1349709,1345566,1454761,1513278,1593893,1667110,1719996,1924722,1641624,2022352,2175425,2320351,2458038
 "05000","Arkansas",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",593070,615689,672234,692917,732067,788824,841430,909897,965995,1010793,1065947,1105662,1134617,1171832,1247241,1310485,1391560,1467263,1500659,1438092,1491416,1586340,1680270,1676628,1740826,1803620,1821414,1867294,1933023,1999855,2024173,2143331,2265371,2381263,2427945
 "05000","Arkansas",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",813090,863252,943585,1000522,1066416,1092965,1141916,1215036,1272362,1332522,1425439,1479961,1506568,1522149,1565402,1597590,1639559,1648255,1639235,1557722,1620213,1698118,1835504,1891133,1964645,2060845,2028749,2185333,2294651,2362381,2384425,2652989,2888408,3084045,3470099
 "05000","Arkansas",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-220020,-247563,-271351,-307605,-334349,-304141,-300486,-305139,-306367,-321729,-359492,-374299,-371951,-350317,-318161,-287105,-247999,-180992,-138576,-119630,-128797,-111778,-155234,-214505,-223819,-257225,-207335,-318039,-361628,-362526,-360252,-509658,-623037,-702782,-1042154
 "06000","California",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1538121,1613158,1724127,1807355,1909205,2019797,2149926,2306933,2524836,2768053,3031352,3073264,3009887,3011170,3085628,3156281,3241194,3303255,3205762,3100930,3214055,3486731,3761221,3946889,4165508,4381115,4505455,4725002,5007871,5254568,5276450,5809081,6321840,6672625,7099988
 "06000","California",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1584889,1651040,1767001,1782482,1873222,1995179,2136260,2375182,2598796,2847386,3285414,3387306,3442105,3608543,3876766,4137126,4477276,4810945,4962780,4618325,4669347,4889027,5069610,5107848,5415706,5838547,6135597,6575066,6912373,7339452,7488883,8417940,8732924,9053790,9575092
 "06000","California",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-46768,-37882,-42874,24873,35983,24618,13666,-68249,-73960,-79333,-254062,-314042,-432218,-597373,-791138,-980845,-1236082,-1507690,-1757018,-1517395,-1455292,-1402296,-1308389,-1160959,-1250198,-1457432,-1630142,-1850064,-1904502,-2084884,-2212433,-2608859,-2411084,-2381165,-2475104
