outcome,outcome_label,specification,control_count,controls,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2
firearm_suicide_rate_per_100k,Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,1.390765250743391,0.22184953803991372,3.6347409538281834e-10,1222.0,0.9431413448624477
firearm_suicide_rate_per_100k,Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,1.0963348552368752,0.18286488749008276,2.0307598863871024e-09,1222.0,0.9471826300441026
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,0.41472416954943697,0.13915931240026302,0.002880495183618377,1222.0,0.862872460512216
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.32989918044318495,0.13119976770662717,0.011920809328762485,1222.0,0.8651503696260494
total_suicide_rate_per_100k,Total Suicide,baseline_controls,2,unemployment_rate;income_pc,1.8054894202928284,0.2935290184730283,7.700844572047763e-10,1222.0,0.9376049602855531
total_suicide_rate_per_100k,Total Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,1.4262340356800611,0.2658711881919995,8.122782188725639e-08,1222.0,0.9405313652177368
firearm_homicide_rate_per_100k,Firearm Homicide,baseline_controls,2,unemployment_rate;income_pc,-0.23361254188952718,0.33761105530494717,0.4889639445919025,1142.0,0.8934905193427158
firearm_homicide_rate_per_100k,Firearm Homicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,-0.3159831525160852,0.3308313476653227,0.3395177561210496,1142.0,0.8948660349350291
total_firearm_rate_per_100k,Total Firearm Deaths,baseline_controls,2,unemployment_rate;income_pc,1.2714840603254625,0.4820021078210079,0.008341571698382151,1222.0,0.9321972928012767
total_firearm_rate_per_100k,Total Firearm Deaths,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.8630666819092355,0.42610703535402256,0.04281920659402184,1222.0,0.9365534843583253
