outcome,outcome_label,specification,control_count,controls,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2
firearm_suicide_rate_per_100k,Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,1.2634148464146422,0.22730034700987745,2.7233711554571292e-08,1300.0,0.9402332840156916
firearm_suicide_rate_per_100k,Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.9942334969023513,0.18835798461802156,1.3029896898411e-07,1300.0,0.9443022651423912
firearm_suicide_rate_per_100k,Firearm Suicide,health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct,0.6676188347876522,0.17573746470347745,0.0001453070877494094,800.0,0.960033046644708
firearm_suicide_rate_per_100k,Firearm Suicide,overdose_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;drug_overdose_rate_per_100k,0.5156470379326492,0.25615539950679767,0.044112075418258574,300.0,0.977341532054537
firearm_suicide_rate_per_100k,Firearm Suicide,health_access_overdose_controls,11,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct;drug_overdose_rate_per_100k,0.6134946894140478,0.33019958024831914,0.06317595189167878,250.0,0.9781218774796603
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,baseline_controls,2,unemployment_rate;income_pc,0.3122850219348391,0.1457934963637823,0.0321960471541197,1300.0,0.8588096036174512
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.22906208670994435,0.14058529055158192,0.10323978448378401,1300.0,0.8611807858124858
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct,0.13821944753609539,0.1721752059079221,0.42209976941718375,800.0,0.8522785824178533
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,overdose_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;drug_overdose_rate_per_100k,-0.10653643615746677,0.15287135714136152,0.4858637918903768,300.0,0.9285730219274169
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,health_access_overdose_controls,11,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct;drug_overdose_rate_per_100k,-0.18638464869535376,0.183098880356389,0.3087039415744014,250.0,0.9308272844526426
total_suicide_rate_per_100k,Total Suicide,baseline_controls,2,unemployment_rate;income_pc,1.5756998683494803,0.3162152301825018,6.260658899276136e-07,1300.0,0.9328286711524673
total_suicide_rate_per_100k,Total Suicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,1.2232955836122947,0.28963465891715756,2.4045037528272232e-05,1300.0,0.9359901114036051
total_suicide_rate_per_100k,Total Suicide,health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct,0.805838282323747,0.2383640463131893,0.0007230038585623586,800.0,0.9471992802626872
total_suicide_rate_per_100k,Total Suicide,overdose_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;drug_overdose_rate_per_100k,0.4091106017751833,0.29909752667098316,0.17136944867003878,300.0,0.9750204479176496
total_suicide_rate_per_100k,Total Suicide,health_access_overdose_controls,11,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct;drug_overdose_rate_per_100k,0.4271100407186945,0.357459336443472,0.23214591152957384,250.0,0.9756516532538814
firearm_homicide_rate_per_100k,Firearm Homicide,baseline_controls,2,unemployment_rate;income_pc,-0.07164825203485262,0.36774049025201644,0.8455231141661929,1199.0,0.8886669993232406
firearm_homicide_rate_per_100k,Firearm Homicide,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,-0.13828063852268446,0.3686004557564232,0.7075485550577836,1199.0,0.8897872505788805
firearm_homicide_rate_per_100k,Firearm Homicide,health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct,-0.04225302694508687,0.29716532708564686,0.8869323515674057,752.0,0.9079322586444627
firearm_homicide_rate_per_100k,Firearm Homicide,overdose_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;drug_overdose_rate_per_100k,-0.11830300838503838,0.18742910994508505,0.5279175956174144,295.0,0.9659547344578244
firearm_homicide_rate_per_100k,Firearm Homicide,health_access_overdose_controls,11,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct;drug_overdose_rate_per_100k,0.0670299940971757,0.16895577406734555,0.6915658336279171,245.0,0.9661752619992325
total_firearm_rate_per_100k,Total Firearm Deaths,baseline_controls,2,unemployment_rate;income_pc,1.341037519067065,0.4708044996942284,0.004394025156552565,1300.0,0.9332492520900901
total_firearm_rate_per_100k,Total Firearm Deaths,firearm_law_controls,9,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license,0.9559096149499977,0.422327473213266,0.023609057766857018,1300.0,0.9368853948673075
total_firearm_rate_per_100k,Total Firearm Deaths,health_access_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct,0.6310206525780782,0.3035745397066556,0.03765091473423582,800.0,0.9511267316247625
total_firearm_rate_per_100k,Total Firearm Deaths,overdose_controls,10,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;drug_overdose_rate_per_100k,0.3160584028660567,0.31233591166194735,0.31157715213790793,300.0,0.977181466762069
total_firearm_rate_per_100k,Total Firearm Deaths,health_access_overdose_controls,11,unemployment_rate;income_pc;permit_to_purchase;waiting_period;universal_background_check;erpo_red_flag;safe_storage;stand_your_ground;dealer_license;uninsured_under65_pct;drug_overdose_rate_per_100k,0.657697086274025,0.3140632029910565,0.036246158090863984,250.0,0.9784844849124391
