event_time,coef,se,p_value,ci_low,ci_high
-5,-0.9383321217298735,0.20909952894886075,7.206706980772347e-06,-1.3481671984696404,-0.5284970449901064
-4,-0.4552821556544975,0.2953641524016795,0.12321299882552633,-1.0341958943617893,0.12363158305279431
-3,0.012793079259302509,0.21784032071923892,0.9531696605265787,-0.41417394935040575,0.43976010786901076
-2,-0.4607152661966045,0.21343806979599572,0.03088563362735964,-0.8790538829967561,-0.042376649396452915
0,0.25284079578529883,0.20900265627321055,0.2263751453508609,-0.15680441051019384,0.6624860020807914
1,0.614920114261367,0.1991266462074403,0.0020145048439392022,0.22463188769478393,1.00520834082795
2,0.700606005024913,0.19878038200039874,0.00042424617031096176,0.3109964563041315,1.0902155537456946
3,0.1512278827424942,0.26376280960768683,0.5664090826057082,-0.36574722408857196,0.6682029895735604
4,0.7170111531224719,0.3342416979094455,0.03193784887651064,0.06189742521995867,1.372124881024985
5,1.2679541785696387,0.4190251905053751,0.002478436931901498,0.44666480517910345,2.0892435519601738
