stratification,outcome_label,sex,broad_age_group,coef_post_permitless,se_post_permitless,p_post_permitless,ci_low,ci_high,nobs,n_states,r2
sex,"Firearm suicide, Female",Female,,0.10772099237117738,0.20016699981232966,0.5904696283074364,-0.2846063272609887,0.5000483120033434,749.0,47,0.8940584292033251
sex,"Firearm suicide, Male",Male,,1.6653059001274029,0.38899402977339964,1.8600708786377248e-05,0.9028776017715396,2.4277341984832663,1141.0,47,0.9258989272076721
age,"Firearm suicide, age 15-24",,15-24,1.6845867275659183,0.8610328268208969,0.05040956259291655,-0.0030376130030396187,3.3722110681348765,1163.0,47,0.7735458922627526
age,"Firearm suicide, age 25-44",,25-44,2.3963942931606828,0.9839007973609484,0.014866884399980736,0.46794873033322393,4.324839855988142,1066.0,47,0.8263260381158044
age,"Firearm suicide, age 45-64",,45-64,3.669542505135521,1.2097296154900274,0.0024184883439218284,1.2984724587750671,6.0406125514959745,1099.0,47,0.783464087047551
age,"Firearm suicide, age 65+",,65+,3.57579523198509,1.3136161505229136,0.006486840407983351,1.0011075769601794,6.150482887010001,774.0,47,0.8460821666817726
sex_age,"Firearm suicide, Female, age 15-24",Female,15-24,0.08368159279724725,0.12471860872864172,0.5022439936528242,-0.16076688031089054,0.328130065905385,380.0,45,0.9195343603233237
sex_age,"Firearm suicide, Female, age 25-44",Female,25-44,0.1454202330382559,0.13479928690614906,0.28068098882669235,-0.11878636929779623,0.40962683537430805,386.0,34,0.9021287608020787
sex_age,"Firearm suicide, Female, age 45-64",Female,45-64,-0.06330807513145159,0.20978688287820238,0.7628249035182048,-0.4744903655727282,0.34787421530982504,461.0,36,0.9055282994269509
sex_age,"Firearm suicide, Female, age 65+",Female,65+,0.031101747613767952,0.026515394672808758,0.2408080613469039,-0.020868425944937215,0.08307192117247311,151.0,23,0.971063454661929
sex_age,"Firearm suicide, Male, age 15-24",Male,15-24,1.6510780349816776,0.7597447430099878,0.02976519258897876,0.16197833868210143,3.1401777312812538,1085.0,47,0.8528583104978907
sex_age,"Firearm suicide, Male, age 25-44",Male,25-44,1.70242197547916,0.482547318663022,0.0004187284316747502,0.7566292308996371,2.648214720058683,1038.0,46,0.8998984229302435
sex_age,"Firearm suicide, Male, age 45-64",Male,45-64,1.8302907560994692,0.49457965541805754,0.0002150058434107035,0.8609146314800765,2.799666880718862,1066.0,45,0.8919588650927902
sex_age,"Firearm suicide, Male, age 65+",Male,65+,1.332348034812958,0.7368469186164837,0.07057929830140879,-0.11187192567534998,2.776567995301266,631.0,39,0.889810385259041
