outcome,outcome_label,window,n_adopter_states,n_never_states,mean_change_adopters,mean_change_never,difference,welch_t,p_value
firearm_homicide_rate_per_100k,Firearm Homicide,2,26,21,-0.0052667870863315055,0.02910624420075781,-0.034373031287089316,-0.15090538508033574,0.8811750131075204
firearm_homicide_rate_per_100k,Firearm Homicide,3,26,21,0.1101030715404927,0.08609977570593062,0.02400329583456208,0.09105883658706213,0.9280974485310719
firearm_homicide_rate_per_100k,Firearm Homicide,5,26,21,0.3065822041064006,0.27181744473902897,0.03476475936737161,0.1280913004945898,0.8988782194409745
firearm_suicide_rate_per_100k,Firearm Suicide,2,26,21,0.8355851794797127,0.17766128338268153,0.6579238960970312,3.5502563755232566,0.0014775100197565402
firearm_suicide_rate_per_100k,Firearm Suicide,3,26,21,0.903780078634398,0.27018583153262477,0.6335942471017733,3.834282946371855,0.000643081174999744
firearm_suicide_rate_per_100k,Firearm Suicide,5,26,21,1.1311269288230545,0.43221725123678145,0.6989096775862731,5.090833102401614,9.486885567498974e-06
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2,26,21,0.25821895767110886,0.04424052411250622,0.21397843355860263,1.1058900280226647,0.27872172438618453
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,3,26,21,0.2183452183160805,0.08479896485122808,0.13354625346485244,0.8196162822861436,0.4192017254039546
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,5,26,21,0.17796185905556802,0.13102534995622453,0.04693650909934349,0.2657962502505647,0.7922133501383365
total_firearm_rate_per_100k,Total Firearm Deaths,2,26,21,0.7576168214439354,0.22068596095130572,0.5369308604926297,1.4981827003088681,0.1456340047533205
total_firearm_rate_per_100k,Total Firearm Deaths,3,26,21,0.994770300523537,0.37777979363006253,0.6169905068934745,1.6341937931092239,0.11307935631841133
total_firearm_rate_per_100k,Total Firearm Deaths,5,26,21,1.4504188766409039,0.7323393065094396,0.7180795701314643,1.913767354484034,0.06364147990833297
total_suicide_rate_per_100k,Total Suicide,2,26,21,1.0938041371508225,0.22190180749518765,0.8719023296556349,3.2847354007777407,0.00285158493587849
total_suicide_rate_per_100k,Total Suicide,3,26,21,1.1221252969504794,0.3549847963838527,0.7671405005666266,3.694696977819555,0.0008777433333403081
total_suicide_rate_per_100k,Total Suicide,5,26,21,1.3090887878786224,0.563242601193006,0.7458461866856164,3.1166468524622895,0.003776472759521706
