feature,feature_value,event_time,mean_outcome,n_states,nobs,outcome
misdemeanor_screen_removed,0,-5.0,9.077970237386003,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,-4.0,9.197657176709646,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,-3.0,9.763985307625692,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,-2.0,9.504287764779354,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,-1.0,10.104409844693436,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,0.0,10.390752482911596,14,14,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,1.0,10.76817250479933,13,13,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,2.0,10.873838046405691,10,10,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,3.0,10.391774553058642,8,8,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,4.0,12.109898216095358,6,6,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,0,5.0,12.120430253531234,6,6,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,-5.0,10.095904724294389,11,11,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,-4.0,10.654118487955865,12,12,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,-3.0,11.165282534152519,12,12,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,-2.0,10.761641763943354,12,12,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,-1.0,11.412058402207618,12,12,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,0.0,11.834908046000992,12,12,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,1.0,12.343226303227565,11,11,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,2.0,12.571340063671517,11,11,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,3.0,12.175201362409622,10,10,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,4.0,12.108242351709757,7,7,firearm_suicide_rate_per_100k
misdemeanor_screen_removed,1,5.0,13.031712851996064,7,7,firearm_suicide_rate_per_100k
permit_background_check_removed,1,-5.0,9.525861411625693,25,25,firearm_suicide_rate_per_100k
permit_background_check_removed,1,-4.0,9.869870089592517,26,26,firearm_suicide_rate_per_100k
permit_background_check_removed,1,-3.0,10.410737873714996,26,26,firearm_suicide_rate_per_100k
permit_background_check_removed,1,-2.0,10.084604995162739,26,26,firearm_suicide_rate_per_100k
permit_background_check_removed,1,-1.0,10.707939948161519,26,26,firearm_suicide_rate_per_100k
permit_background_check_removed,1,0.0,11.057285819722088,26,26,firearm_suicide_rate_per_100k
permit_background_check_removed,1,1.0,11.49007216241227,24,24,firearm_suicide_rate_per_100k
permit_background_check_removed,1,2.0,11.76300576973541,21,21,firearm_suicide_rate_per_100k
permit_background_check_removed,1,3.0,11.3825672249203,18,18,firearm_suicide_rate_per_100k
permit_background_check_removed,1,4.0,12.109006596810804,13,13,firearm_suicide_rate_per_100k
permit_background_check_removed,1,5.0,12.611120883473834,13,13,firearm_suicide_rate_per_100k
policy_bundle_index,1,-5.0,9.119859036659676,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,-4.0,8.841032113880082,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,-3.0,9.191192793473377,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,-2.0,9.546487335380322,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,-1.0,10.462797089093996,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,0.0,10.41918313968525,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,1.0,10.790512697696448,4,4,firearm_suicide_rate_per_100k
policy_bundle_index,1,2.0,10.24830362531044,3,3,firearm_suicide_rate_per_100k
policy_bundle_index,1,3.0,8.63662147078736,1,1,firearm_suicide_rate_per_100k
policy_bundle_index,1,4.0,7.991406717965258,1,1,firearm_suicide_rate_per_100k
