nics_outcome,nics_outcome_label,sample,sample_note,specification,coef_post_permitless,se_post_permitless,p_post_permitless,ci_low,ci_high,nobs,r2,interpretation_scope,coverage_note
handgun_checks_per_100k,NICS Handgun Checks per 100k,full_1999_2021,"Full parsed NICS panel, 1999-2021",twfe_nics_mechanism_proxy,476.9516714869903,185.44378004369761,0.010112821800195052,113.48186260134298,840.4214803726376,1081.0,0.8525526134547738,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_checks_per_100k,NICS Permit Checks per 100k,full_1999_2021,"Full parsed NICS panel, 1999-2021",twfe_nics_mechanism_proxy,-2274.541706469947,1846.0327641582044,0.21790267985743927,-5892.765924220028,1343.682511280134,1081.0,0.5090189273757382,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_recheck_checks_per_100k,NICS Permit Rechecks per 100k,full_1999_2021,"Full parsed NICS panel, 1999-2021",twfe_nics_mechanism_proxy,1630.6170428953321,2678.9917858191725,0.5427444053160356,-3620.206857310246,6881.44094310091,1081.0,0.2131307292028839,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_and_recheck_checks_per_100k,NICS Permit plus Recheck Checks per 100k,full_1999_2021,"Full parsed NICS panel, 1999-2021",twfe_nics_mechanism_proxy,-643.9246635746147,1240.2229346564027,0.6036207641139362,-3074.7616155011638,1786.9122883519346,1081.0,0.5673903011202244,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
handgun_or_permit_checks_per_100k,NICS Handgun or Permit Checks per 100k,full_1999_2021,"Full parsed NICS panel, 1999-2021",twfe_nics_mechanism_proxy,-1797.5900349829567,1874.7398766947226,0.3376354709076825,-5472.080193304613,1876.9001233386994,1081.0,0.5421530079206108,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
handgun_checks_per_100k,NICS Handgun Checks per 100k,exclude_2020_2021,Excludes 2020-2021 to reduce COVID-period background-check distortions,twfe_nics_mechanism_proxy,379.43230510871444,175.8130266420777,0.03091554289605246,34.83877289024218,724.0258373271868,987.0,0.8481493803055493,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_checks_per_100k,NICS Permit Checks per 100k,exclude_2020_2021,Excludes 2020-2021 to reduce COVID-period background-check distortions,twfe_nics_mechanism_proxy,-1355.8955071862188,1143.4115187689686,0.2356881198780093,-3596.982083973397,885.1910696009595,987.0,0.5588656003671898,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_recheck_checks_per_100k,NICS Permit Rechecks per 100k,exclude_2020_2021,Excludes 2020-2021 to reduce COVID-period background-check distortions,twfe_nics_mechanism_proxy,474.696669398877,1169.306789752036,0.6847689214394943,-1817.1446385151135,2766.5379773128675,987.0,0.14429150262157553,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
permit_and_recheck_checks_per_100k,NICS Permit plus Recheck Checks per 100k,exclude_2020_2021,Excludes 2020-2021 to reduce COVID-period background-check distortions,twfe_nics_mechanism_proxy,-881.1988377873415,743.4645499372485,0.2359146394231271,-2338.389355664349,575.9916800896656,987.0,0.5603296345639802,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
handgun_or_permit_checks_per_100k,NICS Handgun or Permit Checks per 100k,exclude_2020_2021,Excludes 2020-2021 to reduce COVID-period background-check distortions,twfe_nics_mechanism_proxy,-976.4632020775039,1183.7575528357465,0.40943719338014695,-3296.628005635567,1343.7016014805595,987.0,0.5848889317767273,mechanism_proxy_nics_checks_not_firearm_sales,NICS proxy covers 1999-2021 because 2022-2024 pages in the official year-by-state PDF did not extract cleanly with local tools.
