State,training_removed,permit_background_check_removed,misdemeanor_screen_removed,policy_bundle_index
Alaska,1,1,1,3
Kentucky,1,1,1,3
Louisiana,1,1,1,3
Maine,1,1,1,3
Missouri,1,1,1,3
Montana,1,1,1,3
Ohio,1,1,1,3
Oklahoma,1,1,1,3
Tennessee,1,1,1,3
Utah,1,1,1,3
West Virginia,1,1,1,3
Arizona,1,1,0,2
Florida,1,1,0,2
Idaho,1,1,0,2
Iowa,1,1,0,2
Kansas,1,1,0,2
Nebraska,1,1,0,2
North Dakota,1,1,0,2
South Carolina,1,1,0,2
South Dakota,0,1,1,2
Texas,1,1,0,2
Wyoming,1,1,0,2
Alabama,0,1,0,1
Georgia,0,1,0,1
Indiana,0,1,0,1
New Hampshire,0,1,0,1
