outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
firearm_suicide_rate_per_100k,Firearm Suicide,2003,2,1,21,0.9308650240564731,-0.11387900253739502,1.0447440265938681
firearm_suicide_rate_per_100k,Firearm Suicide,2003,3,1,21,-0.13546703340589517,-0.16695622519785314,0.03148919179195797
firearm_suicide_rate_per_100k,Firearm Suicide,2003,5,1,21,0.8265043183092295,-0.26680853672318694,1.0933128550324165
firearm_suicide_rate_per_100k,Firearm Suicide,2010,2,1,21,0.9803708118117456,0.19011341444894114,0.7902573973628044
firearm_suicide_rate_per_100k,Firearm Suicide,2010,3,1,21,1.0426573827021723,0.3233279617232636,0.7193294209789087
firearm_suicide_rate_per_100k,Firearm Suicide,2010,5,1,21,1.003590254256114,0.5166862107257879,0.486904043530326
firearm_suicide_rate_per_100k,Firearm Suicide,2011,2,1,21,1.5537321668419999,0.1872353501778763,1.3664968166641236
firearm_suicide_rate_per_100k,Firearm Suicide,2011,3,1,21,0.8164933079076455,0.3112511736738828,0.5052421342337627
firearm_suicide_rate_per_100k,Firearm Suicide,2011,5,1,21,1.1418042798311863,0.5409899960938045,0.6008142837373818
firearm_suicide_rate_per_100k,Firearm Suicide,2015,2,2,21,-0.24616026878750397,0.19267636199889981,-0.4388366307864038
firearm_suicide_rate_per_100k,Firearm Suicide,2015,3,2,21,0.40807254739335797,0.302841603418452,0.10523094397490595
firearm_suicide_rate_per_100k,Firearm Suicide,2015,5,2,21,1.302722689927485,0.5069019147054625,0.7958207752220225
firearm_suicide_rate_per_100k,Firearm Suicide,2016,2,2,21,1.793390661393687,0.24783853276447942,1.5455521286292075
firearm_suicide_rate_per_100k,Firearm Suicide,2016,3,2,21,1.8528069196024646,0.35147611357449904,1.5013308060279655
firearm_suicide_rate_per_100k,Firearm Suicide,2016,5,2,21,1.9003734936267787,0.4903257005264905,1.4100477931002882
firearm_suicide_rate_per_100k,Firearm Suicide,2017,2,3,21,1.2455824645560387,0.23088653609528365,1.014695928460755
firearm_suicide_rate_per_100k,Firearm Suicide,2017,3,3,21,1.0179556882481613,0.26884610186118696,0.7491095863869743
firearm_suicide_rate_per_100k,Firearm Suicide,2017,5,3,21,1.4167212020445774,0.5114808661941419,0.9052403358504355
firearm_suicide_rate_per_100k,Firearm Suicide,2019,2,3,21,0.5285683470337545,0.01940324788660064,0.5091650991471539
firearm_suicide_rate_per_100k,Firearm Suicide,2019,3,3,21,0.6378554178583755,0.25640536145620185,0.38145005640217367
firearm_suicide_rate_per_100k,Firearm Suicide,2019,5,3,21,0.9987332665418549,0.5606723154369533,0.4380609511049016
firearm_suicide_rate_per_100k,Firearm Suicide,2021,2,5,21,1.5107099386627443,0.6135493941422423,0.897160544520502
firearm_suicide_rate_per_100k,Firearm Suicide,2021,3,5,21,1.5786805222633777,0.602965293622427,0.9757152286409507
firearm_suicide_rate_per_100k,Firearm Suicide,2021,5,5,21,1.4625406092046909,0.6706660587261704,0.7918745504785205
