outcome,outcome_label,event_time,weighted_att,n_cohorts,n_treated_states,min_control_states
firearm_homicide_rate_per_100k,Firearm Homicide,-5,-0.07594198406058991,9,21,21
firearm_homicide_rate_per_100k,Firearm Homicide,-4,0.2350111556324143,10,23,21
firearm_homicide_rate_per_100k,Firearm Homicide,-3,0.022366599627568855,10,23,21
firearm_homicide_rate_per_100k,Firearm Homicide,-2,0.184571937505542,10,24,21
firearm_homicide_rate_per_100k,Firearm Homicide,0,-0.12723641773651181,10,23,21
firearm_homicide_rate_per_100k,Firearm Homicide,1,0.03296009202093918,9,21,21
firearm_homicide_rate_per_100k,Firearm Homicide,2,-0.050931072594265374,8,19,21
firearm_homicide_rate_per_100k,Firearm Homicide,3,0.12317345203634605,7,15,21
firearm_homicide_rate_per_100k,Firearm Homicide,4,-0.517578916086592,6,11,23
firearm_homicide_rate_per_100k,Firearm Homicide,5,-0.4003872675443541,6,11,21
firearm_suicide_rate_per_100k,Firearm Suicide,-5,-0.506712404613872,10,25,21
firearm_suicide_rate_per_100k,Firearm Suicide,-4,-0.4071284129125056,11,26,21
firearm_suicide_rate_per_100k,Firearm Suicide,-3,-0.01047166053826966,11,26,21
firearm_suicide_rate_per_100k,Firearm Suicide,-2,-0.4843032195872149,11,26,21
firearm_suicide_rate_per_100k,Firearm Suicide,0,0.16038616821218185,11,26,21
firearm_suicide_rate_per_100k,Firearm Suicide,1,0.47093350803874184,10,24,21
firearm_suicide_rate_per_100k,Firearm Suicide,2,0.5259649421254622,9,21,21
firearm_suicide_rate_per_100k,Firearm Suicide,3,-0.14910053052931224,8,18,21
firearm_suicide_rate_per_100k,Firearm Suicide,4,0.4994637641274319,7,13,23
firearm_suicide_rate_per_100k,Firearm Suicide,5,0.8148521920095946,7,13,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,-5,-0.3197458929533455,10,25,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,-4,-0.017476181873913463,11,26,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,-3,-0.19541081515830502,11,26,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,-2,-0.08819243241509074,11,26,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,0,-0.05662933787282998,11,26,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,1,0.479173680985161,10,24,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2,-0.1711923155791995,9,21,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,3,-0.1457161929460768,8,18,21
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,4,0.3066780019803758,7,13,23
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,5,0.048530472387280144,7,13,21
total_firearm_rate_per_100k,Total Firearm Deaths,-5,-0.5310829268573886,10,25,21
total_firearm_rate_per_100k,Total Firearm Deaths,-4,-0.199173755671831,11,26,21
total_firearm_rate_per_100k,Total Firearm Deaths,-3,-0.006626513737832475,11,26,21
total_firearm_rate_per_100k,Total Firearm Deaths,-2,-0.2982486628538999,11,26,21
total_firearm_rate_per_100k,Total Firearm Deaths,0,0.008947610545658992,11,26,21
total_firearm_rate_per_100k,Total Firearm Deaths,1,0.4005800560655384,10,24,21
total_firearm_rate_per_100k,Total Firearm Deaths,2,0.5100792216499661,9,21,21
total_firearm_rate_per_100k,Total Firearm Deaths,3,-0.15164490517250045,8,18,21
total_firearm_rate_per_100k,Total Firearm Deaths,4,-0.035483825799947806,7,13,23
total_firearm_rate_per_100k,Total Firearm Deaths,5,0.46629773917640327,7,13,21
total_suicide_rate_per_100k,Total Suicide,-5,-0.8264582975672176,10,25,21
total_suicide_rate_per_100k,Total Suicide,-4,-0.4246045947864191,11,26,21
total_suicide_rate_per_100k,Total Suicide,-3,-0.20588247569657453,11,26,21
total_suicide_rate_per_100k,Total Suicide,-2,-0.5724956520023051,11,26,21
total_suicide_rate_per_100k,Total Suicide,0,0.10375683033935236,11,26,21
total_suicide_rate_per_100k,Total Suicide,1,0.9501071890239037,10,24,21
total_suicide_rate_per_100k,Total Suicide,2,0.35477262654626346,9,21,21
total_suicide_rate_per_100k,Total Suicide,3,-0.2948167234753886,8,18,21
total_suicide_rate_per_100k,Total Suicide,4,0.8061417661078079,7,13,23
total_suicide_rate_per_100k,Total Suicide,5,0.8633826643968756,7,13,21
