outcome,outcome_label,event_time,term,coef,se,p_value,ci_low,ci_high,nobs,r2
firearm_homicide_rate_per_100k,Firearm Homicide,-5,event_m5,-0.30013078381490116,0.3164365599076169,0.3428899169321134,-0.9203464412338302,0.3200848736040279,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,-4,event_m4,0.26818842146352695,0.24610405594013313,0.2758295034053189,-0.214175528179134,0.7505523711061879,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,-3,event_m3,0.05825321932341015,0.21790621958199777,0.7892138550406707,-0.36884297105730546,0.48534940970412577,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,-2,event_m2,0.16623382727278058,0.14368087726460077,0.24728642960409883,-0.1153806921658369,0.44784834671139806,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,0,event_0,-0.061392600851902554,0.21885956344757035,0.7790851864174657,-0.4903573452091404,0.3675721435053353,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,1,event_1,-0.1376433591148364,0.21974905839678563,0.5310748443242106,-0.5683515135725362,0.29306479534286345,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,2,event_2,-0.12090967755100247,0.2645266975864258,0.647614048767472,-0.639382004820397,0.39756264971839206,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,3,event_3,-0.0772278755450025,0.3050486808899208,0.8001401385098648,-0.6751232900892473,0.5206675389992422,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,4,event_4,-0.7204840522287439,0.33145118050326333,0.029725718061518552,-1.37012836601514,-0.07083973844234781,1142.0,0.8981132077136174
firearm_homicide_rate_per_100k,Firearm Homicide,5,event_5,-0.8409749537347742,0.3982109597453073,0.03469648640617697,-1.6214684348355766,-0.060481472633971856,1142.0,0.8981132077136174
firearm_suicide_rate_per_100k,Firearm Suicide,-5,event_m5,-1.0785604483658373,0.2036007126815423,1.1744414157155722e-07,-1.4776178452216602,-0.6795030515100144,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,-4,event_m4,-0.5258914690886307,0.30329450451630496,0.08293048725035343,-1.1203486979405883,0.06856575976332702,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,-3,event_m3,-0.06298663295085098,0.21904592858770644,0.7736913063651775,-0.4923166529827556,0.36634338708105363,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,-2,event_m2,-0.5246806205326696,0.2161456114331533,0.01520577899386548,-0.94832601894165,-0.10103522212368915,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,0,event_0,0.22445858419833864,0.21660093374803424,0.30007289350652877,-0.20007924594780846,0.6489964143444857,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,1,event_1,0.6481109831691422,0.2065152611380255,0.00169919236958262,0.24334107133861216,1.0528808949996722,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,2,event_2,0.7382940782080807,0.20767290229017787,0.00037786204703265557,0.33125518971933204,1.1453329666968293,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,3,event_3,0.1223355049515224,0.2816882953516742,0.6640750417419043,-0.429773553937759,0.6744445638408039,1222.0,0.9480249923690207
firearm_suicide_rate_per_100k,Firearm Suicide,4,event_4,0.7470225385536724,0.35471839620971835,0.03520787974863631,0.051774481982624465,1.4422705951247203,1222.0,0.9480249923690207
