mechanism_field,mechanism_value,state_count
training_requirement_removed,no_prior_training_requirement,5
training_requirement_removed,yes,21
background_check_permit_requirement_removed,yes,25
background_check_permit_requirement_removed,carry_permit_screen_removed_purchase_permit_retained,1
violent_misdemeanor_permit_screen_removed,precarry_check_removed_state_prohibitions_retained,2
violent_misdemeanor_permit_screen_removed,permit_specific_misdemeanor_screen_removed,12
violent_misdemeanor_permit_screen_removed,no_distinct_misdemeanor_screen_identified,1
violent_misdemeanor_permit_screen_removed,eligibility_standard_retained_no_precarry_check,7
violent_misdemeanor_permit_screen_removed,dangerousness_review_removed_no_distinct_misdemeanor_screen,1
violent_misdemeanor_permit_screen_removed,precarry_check_removed_purchase_screen_retained,1
violent_misdemeanor_permit_screen_removed,suitable_person_review_removed,1
violent_misdemeanor_permit_screen_removed,partial_violent_misdemeanor_restriction_retained,1
