outcome,outcome_label,specification,arkansas_year,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2
firearm_suicide_rate_per_100k,Firearm Suicide,primary_excluded,,1.390765250743391,0.22184953803991372,3.6347409538281834e-10,1222.0,0.9431413448624477
firearm_suicide_rate_per_100k,Firearm Suicide,mississippi_retained_year,,1.300020440627058,0.22976053775190555,1.5301006472024338e-08,1248.0,0.9418738947024486
firearm_suicide_rate_per_100k,Firearm Suicide,arkansas_2021,2021,1.3609349704569302,0.2189182473010238,5.079274470991123e-10,1248.0,0.9432355540748975
firearm_suicide_rate_per_100k,Firearm Suicide,arkansas_2023,2023,1.378704601771001,0.21887747648376712,2.996128069790965e-10,1248.0,0.9434121206004217
firearm_suicide_rate_per_100k,Firearm Suicide,mississippi_retained_year_arkansas_2021,2021,1.2730746636551846,0.22669203839454982,1.9556745259623433e-08,1274.0,0.9419860912764191
firearm_suicide_rate_per_100k,Firearm Suicide,mississippi_retained_year_arkansas_2023,2023,1.2880662162464864,0.22720322907812437,1.43444925045681e-08,1274.0,0.9421336313621359
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,primary_excluded,,0.41472416954943697,0.13915931240026302,0.002880495183618377,1222.0,0.862872460512216
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,mississippi_retained_year,,0.35635674166588827,0.14664572272499662,0.015096653906549878,1248.0,0.8665164685207168
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,arkansas_2021,2021,0.41635160639092095,0.1374270032327221,0.00244861555919339,1248.0,0.8629730968523748
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,arkansas_2023,2023,0.4064287078198606,0.13758005311141736,0.003135567254578217,1248.0,0.862820631781512
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,mississippi_retained_year_arkansas_2021,2021,0.3576900751758072,0.145127122008208,0.01371405158128815,1274.0,0.8664630212472051
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,mississippi_retained_year_arkansas_2023,2023,0.3473085622796078,0.14548396955637927,0.016974322755881652,1274.0,0.866331602535771
total_suicide_rate_per_100k,Total Suicide,primary_excluded,,1.8054894202928284,0.2935290184730283,7.700844572047763e-10,1222.0,0.9376049602855531
total_suicide_rate_per_100k,Total Suicide,mississippi_retained_year,,1.6563771822929467,0.3163705727791855,1.644851919344112e-07,1248.0,0.9356190134572171
total_suicide_rate_per_100k,Total Suicide,arkansas_2021,2021,1.7772865768478519,0.28929835498889855,8.075407940541559e-10,1248.0,0.9373227656446238
total_suicide_rate_per_100k,Total Suicide,arkansas_2023,2023,1.7851333095908613,0.29026027429544793,7.742805981798911e-10,1248.0,0.9373583944577853
total_suicide_rate_per_100k,Total Suicide,mississippi_retained_year_arkansas_2021,2021,1.6307647388309925,0.31211990462902256,1.7434145345932872e-07,1274.0,0.9353552081048087
total_suicide_rate_per_100k,Total Suicide,mississippi_retained_year_arkansas_2023,2023,1.635374778526094,0.3139409574061517,1.8967761371342177e-07,1274.0,0.9353689837263838
firearm_homicide_rate_per_100k,Firearm Homicide,primary_excluded,,-0.23361254188952718,0.33761105530494717,0.4889639445919025,1142.0,0.8934905193427158
firearm_homicide_rate_per_100k,Firearm Homicide,mississippi_retained_year,,-0.054172305205427984,0.37023633085073065,0.8836702166515112,1168.0,0.8873942363285512
firearm_homicide_rate_per_100k,Firearm Homicide,arkansas_2021,2021,-0.20532541245196978,0.33429336077627053,0.5390783699891142,1168.0,0.8944198621228069
firearm_homicide_rate_per_100k,Firearm Homicide,arkansas_2023,2023,-0.24973136138116678,0.33314138687440753,0.45348013885726923,1168.0,0.894599177711002
firearm_homicide_rate_per_100k,Firearm Homicide,mississippi_retained_year_arkansas_2021,2021,-0.03708616422582304,0.3630531154170773,0.9186369835762105,1194.0,0.8885138123333239
firearm_homicide_rate_per_100k,Firearm Homicide,mississippi_retained_year_arkansas_2023,2023,-0.07169703287395618,0.36611986730821133,0.8447436999948575,1194.0,0.8885433672350644
total_firearm_rate_per_100k,Total Firearm Deaths,primary_excluded,,1.2714840603254625,0.4820021078210079,0.008341571698382151,1222.0,0.9321972928012767
total_firearm_rate_per_100k,Total Firearm Deaths,mississippi_retained_year,,1.3695130876016468,0.48087134550529836,0.004399736947189946,1248.0,0.9327177154918416
total_firearm_rate_per_100k,Total Firearm Deaths,arkansas_2021,2021,1.2622997410511463,0.4754591347929829,0.007933029791235134,1248.0,0.9337132261764209
total_firearm_rate_per_100k,Total Firearm Deaths,arkansas_2023,2023,1.2399761902179196,0.47675444831317326,0.009298777022530505,1248.0,0.9335669665375432
total_firearm_rate_per_100k,Total Firearm Deaths,mississippi_retained_year_arkansas_2021,2021,1.3534597220433244,0.47372856720043877,0.004276169049683347,1274.0,0.9340560222439785
total_firearm_rate_per_100k,Total Firearm Deaths,mississippi_retained_year_arkansas_2023,2023,1.3368637263935523,0.47561284456874225,0.004941489603779328,1274.0,0.9339406434453599
