outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,placebo_shift
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.026247972134695097,0.13864315789608006,0.8498417413265973,546.0,0.9633669610870974,not_p05,0
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.2457498614738235,0.18036670434189608,0.17303974757449248,546.0,0.9638163913831386,not_p05,1
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.061657736629750354,0.22952738291451136,0.7882151087518445,546.0,0.9633896435825373,not_p05,2
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,0.08134225479212664,0.2281228589833019,0.7214121412767847,546.0,0.9634124162731799,not_p05,3
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,0.3847054434763605,0.2045019358845168,0.059947110413978044,546.0,0.9645220059763339,not_p05,4
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,0.29065439326258924,0.1460203184908676,0.046535168552619646,546.0,0.9640159544802872,positive_p05,5
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,0.05416911330627101,0.1293489759499072,0.6753749498208337,546.0,0.9633844358382306,not_p05,6
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,0.0499991018152219,0.16847784785792116,0.7666424238223617,546.0,0.9633812097926934,not_p05,7
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.03212556520362384,0.21807841500006597,0.8828857693869686,546.0,0.9633696755937138,not_p05,8
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.2236983301092067,0.25211676963845003,0.37492782312367834,546.0,0.9637570398369865,not_p05,9
firearm_suicide_rate_per_100k,Firearm Suicide,placebo_never_treated,-0.275426292242828,0.19398370373065726,0.1556535608301962,546.0,0.9639608010402393,not_p05,10
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.1248404293841516,0.15274877854426674,0.41376129817667484,546.0,0.8888494971820675,not_p05,0
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.11965784996061118,0.16192395010308416,0.45992180717182163,546.0,0.888808398646854,not_p05,1
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.13910771110389553,0.12727728739523167,0.2744157539553419,546.0,0.8889084064335153,not_p05,2
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.00828923034034755,0.1261624992634616,0.9476144375779098,546.0,0.8885029833940042,not_p05,3
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.008776401868777713,0.11366662753543082,0.938455075927047,546.0,0.8885031990844114,not_p05,4
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,-0.10449054090822898,0.15413966775503074,0.4978381435945601,546.0,0.8887422019443865,not_p05,5
