outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag
firearm_suicide_rate_per_100k,Firearm Suicide,baseline,1.2768001460967446,0.2300997788147765,2.8747622813299843e-08,1300.0,0.9403119721580275,positive_p05
firearm_suicide_rate_per_100k,Firearm Suicide,exclude_covid,1.2537017593161577,0.21023516018883487,2.4714769486204655e-09,1200.0,0.9426579515724487,positive_p05
firearm_suicide_rate_per_100k,Firearm Suicide,pre_covid_only,1.1372196948271385,0.2536556977146639,7.349055213521197e-06,1050.0,0.9413902379370365,positive_p05
firearm_suicide_rate_per_100k,Firearm Suicide,population_weighted,0.8611635836048974,0.17174605935531478,5.32634521953968e-07,1300.0,0.9641505283233861,positive_p05
firearm_suicide_rate_per_100k,Firearm Suicide,state_linear_trends,0.25584084583740946,0.14535692728981292,0.07839304757329837,1300.0,0.9630603320698132,not_p05
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,baseline,0.31263698204952467,0.1446242899494611,0.030639892018189663,1300.0,0.8587964100115189,positive_p05
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,exclude_covid,0.27337205346398247,0.144751735228361,0.05895107382956698,1200.0,0.8616775757415612,not_p05
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,pre_covid_only,0.3582403550820714,0.18878874721163932,0.057752405868477456,1050.0,0.8654105508306181,not_p05
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,population_weighted,0.19124400586201595,0.10534386189077984,0.069458439272193,1300.0,0.8963687339011623,not_p05
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,state_linear_trends,0.08263727949994076,0.13989382371551534,0.5547118775635834,1300.0,0.8919722141133125,not_p05
total_suicide_rate_per_100k,Total Suicide,baseline,1.5894371281462696,0.31851099526193655,6.03133193530801e-07,1300.0,0.9328779941850353,positive_p05
total_suicide_rate_per_100k,Total Suicide,exclude_covid,1.5270738127801406,0.3010619698646767,3.9305545385545444e-07,1200.0,0.9355921542161432,positive_p05
total_suicide_rate_per_100k,Total Suicide,pre_covid_only,1.4954600499092108,0.4029266816499097,0.00020603937381388914,1050.0,0.9340373559910821,positive_p05
total_suicide_rate_per_100k,Total Suicide,population_weighted,1.0524075894669127,0.2307226776874535,5.082504037885786e-06,1300.0,0.9518168487587316,positive_p05
total_suicide_rate_per_100k,Total Suicide,state_linear_trends,0.33847812533735266,0.18044867046366897,0.06068845052435099,1300.0,0.9596185589037346,not_p05
firearm_homicide_rate_per_100k,Firearm Homicide,baseline,-0.053721892651380526,0.3748187118622959,0.8860314039131137,1199.0,0.8886490339739039,not_p05
firearm_homicide_rate_per_100k,Firearm Homicide,exclude_covid,0.03801683504092601,0.3498968118073475,0.9134788624652519,1103.0,0.8949682694419432,not_p05
firearm_homicide_rate_per_100k,Firearm Homicide,pre_covid_only,0.02890309751471866,0.4670915992998358,0.9506592993791652,953.0,0.9117833515641882,not_p05
firearm_homicide_rate_per_100k,Firearm Homicide,population_weighted,0.03940852141094016,0.3884829605672054,0.9191995299566018,1199.0,0.8881029880007778,not_p05
firearm_homicide_rate_per_100k,Firearm Homicide,state_linear_trends,-0.07034846546843099,0.20389722106039365,0.7300799019226193,1199.0,0.9345679818880452,not_p05
total_firearm_rate_per_100k,Total Firearm Deaths,baseline,1.376485222639742,0.47231008111271894,0.0035640989382332024,1300.0,0.9334210419015001,positive_p05
total_firearm_rate_per_100k,Total Firearm Deaths,exclude_covid,1.440070315788363,0.45999693696481575,0.0017444455234819555,1200.0,0.9347512624439608,positive_p05
total_firearm_rate_per_100k,Total Firearm Deaths,pre_covid_only,1.2543668622369346,0.5691193084640096,0.02752089583564429,1050.0,0.9390172973599596,positive_p05
total_firearm_rate_per_100k,Total Firearm Deaths,population_weighted,0.9640735694898013,0.48134649437314586,0.04519144101620957,1300.0,0.9464732349747886,positive_p05
total_firearm_rate_per_100k,Total Firearm Deaths,state_linear_trends,0.17508236992206383,0.26073107276849944,0.5018985067310389,1300.0,0.9620976498124347,not_p05
